Ciliated_cells;Cilia_p_value;Club_cells;Club_p_value;Endothelial_Cells;Endothelial_p_value;Epithelial_AT1_ME18.5;Epithelial_AT1_ME18.5_p_value;Epithelial_AT2;Epithelial_AT2_p_value;Lipo_Fibroblast;Lipo_Fibroblast_p_value;Matrix_Fibroblast;Matrix_Fibroblast_p_value;Myeloid_Immune Cells_ME18.5;Myeloid_Immune Cells_ME18.5_p_value;MyoFibroblast_ME18.5;MyoFibroblast_ME18.5_p_value
Ccdc176;0;Arhgap8;0.000068;Foxf1;0.000565;S100a6;0.000088;Serpinf1;0.000023;Col9a2;0.000454;Apod;0.000454;H2-DMa;0.000011;Slc38a11;0.000454
Ccdc24;0;Rdh10;0.000068;Rps4l;0.000566;Nhlrc3;0.000091;Fabp5;0.000025;Ddx51;0.000454;Aqp9;0.000454;Alox5ap;0.000011;Slc6a17;0.000454
Ccdc30;0;Tchp;0.000115;Cd38;0.000596;Usp39;0.000091;Sftpd;0.000025;Dpep3;0.000454;Atxn7l2;0.000454;Cd48;0.000013;Sntg2;0.000454
Ccdc40;0;C330018D20Rik;0.00013;Emp1;0.000601;1010001N08Rik;0.000091;Rian;0.000025;F630028O10Rik;0.000454;Catsperg2;0.000454;Ear2;0.000013;Sod3;0.000454
Ccdc60;0;Aldh1a1;0.000155;Hmgb1-rs17;0.000602;Myl7;0.000091;Slc26a9;0.000026;3830408C21Rik;0.000473;Crabp1;0.000454;Dok2;0.000013;Syp;0.000454
Ccdc65;0;F2rl1;0.000179;Scn3b;0.000624;Evpl;0.000091;Atp1b1;0.000027;Cxcl14;0.000473;D430041D05Rik;0.000454;Fcer1g;0.000014;Tal2;0.000454
Ccdc67;0;Arsb;0.000208;Dach1;0.000641;Fgfbp1;0.000093;Ppp1r14c;0.000028;Slc38a5;0.000498;Dctd;0.000454;Treml4;0.000016;Tfpi2;0.000454
Ccdc73;0;Itih5;0.000224;Tspan13;0.000645;Slco3a1;0.000111;Rilp;0.000029;Taf1a;0.000513;Tram1l1;0.000473;Irf5;0.000017;2410018L13Rik;0.000454
Ccna1;0;5330417C22Rik;0.000224;Myct1;0.000683;Pias1;0.000118;Rbm38;0.000029;Tmem218;0.000513;Lipt1;0.000473;Siglece;0.000018;4933408B17Rik;0.000454
Cep128;0;Tmem181b-ps;0.000224;Ece1;0.000692;Exph5;0.000127;Gjb6;0.000029;4930487H11Rik;0.000514;Tbx2;0.000487;LOC100038947;0.000018;AI197445;0.000454
Cyp2s1;0;Zhx2;0.000279;Plekha2;0.000726;Cystm1;0.000134;Cox6a2;0.000029;Plin2;0.000529;Tsen15;0.000498;Evi2a;0.000018;AI427809;0.000454
Dbpht2;0;Ccdc130;0.000331;Cd151;0.000781;Trpm6;0.000142;Sema4f;0.000029;Fam149b;0.000578;Steap4;0.000527;Iars;0.000019;Aard;0.000454
Dnaaf1;0;Hars2;0.00037;Igfbp4;0.000791;Ndnf;0.000188;Vcpkmt;0.000033;D330023K18Rik;0.000578;Tspan4;0.000541;Slc16a10;0.000019;Adra1d;0.000454
Dnaaf3;0;Tjap1;0.000381;Mgll;0.000801;Wwp1;0.000189;Soat1;0.000033;Zfp280c;0.000579;Deaf1;0.000542;Fam96a;0.00002;Ankrd34a;0.000454
Dnah10;0;Cldn4;0.000386;Thbd;0.000843;Abhd17c;0.000257;Ptplad1;0.000035;Frrs1l;0.000619;Ifitm1;0.000567;Lilrb4;0.000021;Arhgef9;0.000454
Dnah2;0;Sfn;0.000386;Homer3;0.000891;Stk36;0.000262;Gne;0.000035;Ikbke;0.000619;Yars2;0.000619;Tlr2;0.000021;B4galt2;0.000454
Dnah6;0;Cnksr2;0.000399;Glp1r;0.000919;Phtf2;0.00031;9330182L06Rik;0.000041;Vldlr;0.000677;Cped1;0.00065;Cyba;0.000022;BC051628;0.000454
Dnah7b;0;Cldn23;0.000399;Ly6c1;0.000983;Rab12;0.000355;Gas6;0.000046;Wdr90;0.000746;Cacna1d;0.0008;Oas1a;0.000022;Bdkrb2;0.000454
Dnah9;0;Cdk20;0.000399;Myzap;0.001013;Osbpl6;0.000358;Cpne2;0.000049;Mtap7d3;0.000805;St8sia2;0.000805;Myo1g;0.000022;C030039L03Rik;0.000454
Dnajb13;0;Cd276;0.000399;Tmem88;0.001103;Sh2d4a;0.000366;Dpp4;0.000057;Nox1;0.000805;Gm12839;0.000805;Gm13546;0.000022;C1qtnf5;0.000454
Dnajc5b;0;Tyw3;0.000399;Serinc3;0.001125;Tmem63b;0.000404;Bhlhe41;0.000057;A630012P03Rik;0.000805;Ltbp4;0.000837;Bcl2a1b;0.000023;C530044C16Rik;0.000454
Dnali1;0;Socs1;0.000399;Dusp3;0.001167;Nedd4l;0.00042;Mccc1;0.00007;Parp11;0.000837;Lrrc17;0.001136;Rassf4;0.000023;Ccdc106;0.000454
Dppa5a;0;Gfra1;0.000399;Mkl2;0.001168;Mpp5;0.000467;Lgi3;0.000082;Adrb3;0.000897;Frem1;0.001148;Slfn2;0.000024;Ccdc136;0.000454
Drc1;0;Mamdc4;0.000399;Il2rg;0.001195;Lrrc16a;0.000504;Ccnj;0.000086;Itga8;0.001003;Fblim1;0.001205;Ptprc;0.000024;Cd247;0.000454
Dyx1c1;0;Lpin3;0.000399;Abcg2;0.00123;Gramd2;0.000591;P2rx4;0.000093;Fgf10;0.001003;Mphosph9;0.001317;Gcnt1;0.000025;Cd3g;0.000454
Dzank1;0;Nek3;0.000399;Slc43a3;0.001249;Rnf126;0.000591;Cthrc1;0.000097;Ppm1k;0.001116;Ptger1;0.001495;Csf2rb;0.000027;Ckm;0.000454
E230019M04Rik;0;BC051226;0.000399;Tsg101;0.001333;Rassf7;0.000595;Fam110a;0.000111;Ssbp3;0.001136;Reck;0.001498;Lsp1;0.000027;Dcst1;0.000454
Efcab10;0;BC030870;0.000399;Gng2;0.001408;Rab25;0.000612;Ggcx;0.000114;Rasgrp2;0.001149;Tcf21;0.001528;Tlr7;0.000027;E130309D02Rik;0.000454
Efcab12;0;Olfr856-ps1;0.000399;Frmd4a;0.001502;Tmc4;0.000657;Igsf5;0.000119;Smoc2;0.001268;Plac9a;0.001899;Tyrobp;0.000028;Glt8d2;0.000454
Efhb;0;AU022754;0.000399;Ifi44;0.001548;Krt18;0.000661;Rab27a;0.000121;Npr3;0.001295;St13;0.001923;Cybb;0.000028;Gm10474;0.000454
Efs;0;Pcdhb22;0.000399;Prkd2;0.001585;Wnk1;0.000688;Stard3nl;0.000124;Fn1;0.001412;Colec12;0.001936;Lcp2;0.000029;Gm11747;0.000454
Elmod1;0;1810021B22Rik;0.000399;Tmem252;0.001627;Rnf181;0.000716;Qpct;0.000133;Rbp1;0.001419;Nsmf;0.001942;Clec7a;0.000031;Gm20754;0.000454
Fam154b;0;1500011B03Rik;0.000399;2900026A02Rik;0.001661;Cnksr1;0.000735;St6galnac2;0.00014;Cyr61;0.001427;Olfml3;0.001994;Csf1r;0.000032;Gm4787;0.000454
Fam160a1;0;Gprasp2;0.000399;Tjp1;0.001734;Cers2;0.000864;Fam110b;0.00014;Gemin8;0.001487;Mfap4;0.001996;Pilrb2;0.000033;Gpr114;0.000454
Fam161a;0;Myh13;0.000399;Zeb1;0.00176;Sfxn3;0.000907;Tmprss4;0.00014;Dab2;0.001493;Cdh11;0.002119;Cd44;0.000033;Gpr88;0.000454
Fam179a;0;Rhbg;0.000399;Heatr3;0.001879;Zfp747;0.000926;Tgoln1;0.000149;Pik3r4;0.001495;E030013I19Rik;0.002183;Ptplad2;0.000037;Grin2b;0.000454
Fam183b;0;Eaf2;0.000399;Zfp366;0.001946;Xndc1;0.000926;Mbip;0.00016;Cdyl;0.001495;Rab3d;0.002188;Ctss;0.000038;Grip2;0.000454
Fam92b;0;Rbbp8nl;0.000399;Stab2;0.001946;Myrf;0.000926;Sec14l4;0.00016;Scn2b;0.001495;6030408B16Rik;0.002218;Gpr160;0.000039;U90926;0.000454
Fbxo16;0;Rab17;0.000399;Ddx60;0.00198;2210011C24Rik;0.000926;Slco4c1;0.000166;Diablo;0.001498;Cdadc1;0.002236;Snx10;0.000041;Zfp628;0.000454
Lrguk;0;Ubtd1;0.00049;Lxn;0.002055;4930549G23Rik;0.000926;C6;0.000168;Heph;0.00154;Stx11;0.002704;Nckap1l;0.000041;Hfe2;0.000454
Lrrc10b;0;Fam207a;0.000632;Slc4a2;0.002083;Elovl5;0.000928;Gsap;0.000211;Adamts12;0.001668;Gm14393;0.002704;Bmx;0.000041;Hoxd13;0.000454
Lrrc23;0;Smim19;0.000643;Hmgcl;0.002252;Tnfrsf4;0.000941;Gm11744;0.000235;Pde6d;0.001668;Fibin;0.002744;1600014C10Rik;0.000041;Hrct1;0.000454
Lrrc34;0;Rorc;0.000653;Epas1;0.002267;Cdh3;0.00111;Cldn7;0.000239;Olfr1033;0.001755;Eln;0.00279;Fcgr3;0.000042;Kat6b;0.000472
Lrrc48;0;Rpusd3;0.000669;Zfpm1;0.00229;Mmab;0.00111;Acsl4;0.000249;Bmper;0.001755;Gls;0.002938;Tnfrsf1b;0.000042;B3gat2;0.000473
Lrrc6;0;Akr1c19;0.000669;Trp53i11;0.002305;Rusc1;0.001124;Lcmt2;0.000281;Adh1;0.001841;Slc50a1;0.002978;Rel;0.000044;Tnnt3;0.000473
Lrriq1;0;Aqp4;0.000669;Ccdc85a;0.00235;Aagab;0.001143;Wdr91;0.000284;Ptprd;0.002097;Taok2;0.003;Pag1;0.000044;E130310I04Rik;0.000473
Maats1;0;Pglyrp1;0.000807;Rcc1;0.002391;Adcy6;0.00116;Ptprf;0.000301;Smarcal1;0.002123;Chst2;0.0031;Gm2a;0.000044;Cacnb2;0.000473
Plch2;0;Aatf;0.000842;Cand2;0.002391;Zbtb8b;0.001292;Me1;0.000326;Rasa2;0.002158;Lox;0.003227;Lypla2;0.000047;Thsd4;0.000473
Ppil6;0;Cldn12;0.000842;Ccdc102a;0.002391;Aqp11;0.001298;E030019B13Rik;0.000328;Pcdhac2;0.002183;Slc16a9;0.003254;Selplg;0.000047;Rai2;0.000473
Ppp1r36;0;1110004E09Rik;0.000847;Gm9776;0.002391;Mpst;0.001298;Slc31a1;0.000367;Slit2;0.002201;Pyroxd2;0.003334;Laptm5;0.000048;Pcp4l1;0.000473
Rab36;0;Myo1h;0.000847;Opn1sw;0.002391;4930525G20Rik;0.001298;Stau2;0.00037;Ermp1;0.002218;Chic1;0.003334;E230029C05Rik;0.000051;Nrxn3;0.000473
Rbm11;0;Acsl1;0.001299;Chst1;0.002391;Slc43a1;0.001298;Tlr5;0.00037;Tmppe;0.002438;C1s1;0.003334;C5ar2;0.000051;Lmod1;0.000473
Rfx2;0;Tuft1;0.001381;Gata3;0.002391;Prom2;0.001298;Kcnc3;0.00037;Parp2;0.00248;Ndufv1;0.00336;Man2b1;0.000051;Kank1;0.000474
Rgs22;0;Zfp874b;0.001419;Glis1;0.002391;Pcdhb8;0.001298;Irf6;0.000374;Clpx;0.002674;Grb10;0.003455;Hist1h2ai;0.000051;Lgr4;0.000504
Riiad1;0;Cryl1;0.001486;Gm11944;0.002391;Mycn;0.001298;Prr15l;0.000404;Proca1;0.002704;Plxdc2;0.003533;Gal;0.000051;Flywch1;0.000619
Rnf182;0;Mgat3;0.001486;Ces2g;0.002391;Leprel1;0.001298;Mlc1;0.000419;Fbxo21;0.002704;Fbxo45;0.003591;Sirpa;0.000059;Trim36;0.000619
Rptoros;0;Col23a1;0.001489;Amd1;0.002446;F8;0.001298;Ak1;0.000419;Serpine2;0.002706;Hdac1;0.0037;Ptk2b;0.000061;Cldn1;0.000619
Rsph1;0;Foxa1;0.001637;Ldb2;0.002489;Enthd2;0.001298;5730408K05Rik;0.000429;Fubp1;0.002743;Gas7;0.003756;Evi2a-evi2b;0.000062;Cacnb3;0.000619
Serpina9;0;4930453N24Rik;0.001637;Amd2;0.002534;Dnajc25;0.001298;Bpifb5;0.000429;Stbd1;0.002748;Tle3;0.003839;Fcgr1;0.000062;Sema4g;0.000619
Smim5;0;Maff;0.001852;Cyp2d22;0.002578;Cenpv;0.001298;Klk14;0.000453;Snhg6;0.002776;Dnajc4;0.003853;AW112010;0.000062;Polr3h;0.000703
