Ciliated_cells;Cilia_p_value;Club_cells;Club_p_value;Endothelial_Cells;Endothelial_p_value;Epithelial_AT1_ME18.5;Epithelial_AT1_ME18.5_p_value;Epithelial_AT2;Epithelial_AT2_p_value;Lipo_Fibroblast;Lipo_Fibroblast_p_value;Matrix_Fibroblast;Matrix_Fibroblast_p_value;Myeloid_Immune Cells_ME18.5;Myeloid_Immune Cells_ME18.5_p_value;MyoFibroblast_ME18.5;MyoFibroblast_ME18.5_p_value
Esm1;0.000001;Bfsp1;0.013563;Rab3b;0.025588;Rnf39;0.018657;Eya1;0.007962;Arel1;0.023922;Mrpl45;0.025717;Sirpb1a;0.001166;Slc45a4;0.013496
Fam185a;0.000001;B630019K06Rik;0.013563;Ren1;0.025588;S100a3;0.018657;Slc16a7;0.007962;Zcchc24;0.024329;Rpf1;0.026619;Ethe1;0.001171;Sned1;0.013496
Fam216b;0.000001;Vstm4;0.013563;Ren2;0.025588;Samd14;0.018657;Rbm33;0.008045;Ahctf1;0.024472;Cygb;0.026625;Abcf1;0.001181;Thrb;0.013496
Fam217a;0.000001;Sfxn1;0.01361;Rfx8;0.025588;Scin;0.018657;Slc23a2;0.008045;Slc27a6;0.024472;2310011J03Rik;0.026966;Fyb;0.001195;Timp4;0.013496
Plac1;0.000001;Eif2b4;0.013618;Rnase1;0.025588;Sct;0.018657;Zfp691;0.008241;Msl1;0.02504;Pmf1;0.026966;Nr2f6;0.00122;Tldc1;0.013496
Pnma1;0.000001;Mtrf1l;0.013618;Samd12;0.025588;Sgcd;0.018657;Rprm;0.008401;Rreb1;0.025418;Rfxank;0.027467;Akna;0.001312;Hdx;0.013496
Ppp1r32;0.000001;1500012F01Rik;0.013638;Scara3;0.025588;Slc35f2;0.018657;St7l;0.008848;Rnf135;0.02568;Ildr2;0.027467;Pkia;0.001318;Htr2b;0.013496
Prr16;0.000001;Tef;0.014038;Snora74a;0.025588;Smok4a;0.018657;Tnfaip1;0.008905;Ptch1;0.02568;Kdelc2;0.028284;Adcy7;0.001327;Kcp;0.013496
Ptprt;0.000001;Ccdc174;0.014391;Sstr1;0.025588;Snora64;0.018657;Pvrl2;0.008974;Slc4a1ap;0.02568;Prkcdbp;0.028849;Tspan32;0.001328;Ndst3;0.013496
Qsox2;0.000001;Ier2;0.014513;Syngr4;0.025588;Fam187b;0.018657;Alad;0.009357;Nagk;0.025822;Pcolce2;0.029041;Ran;0.001334;Ntrk3;0.013496
Rabl3;0.000001;Mical2;0.014828;Tnfrsf22;0.025588;Glrp1;0.018657;Taf6;0.009614;Mertk;0.025991;Ecm1;0.02917;Pim1;0.001347;Opn3;0.013496
Reep2;0.000001;Ubr5;0.014904;Has1;0.025588;Gm13483;0.018657;Chsy1;0.009862;Furin;0.026226;Casc4;0.029351;Casp9;0.001477;Pdp1;0.013496
Rnf128;0.000001;Kdm5c;0.014904;Hbq1b;0.025588;Gm14327;0.018657;Sephs2;0.009978;Kdelc1;0.026289;Gm14420;0.029425;Lcp1;0.00152;Dancr;0.013496
Rnf32;0.000001;Hadh;0.014904;Hist1h4h;0.025588;Gm16793;0.018657;Cat;0.010208;Aldh9a1;0.026297;Fam73a;0.029713;Tep1;0.001544;Dapk3;0.013496
Rp1;0.000001;Pxmp4;0.015283;Hoxa4;0.025588;Gm9079;0.018657;Dhx29;0.010227;Rcor1;0.026297;Ercc6;0.030268;Fgr;0.001634;Dapl1;0.013496
Rsph4a;0.000001;Map7;0.015345;Igdcc3;0.025588;Gsto2;0.018657;Shmt1;0.01065;Tnfsf12;0.026619;Slc2a3;0.030268;Shisa5;0.00166;Dscc1;0.013496
Rxfp4;0.000001;Tmem243;0.015636;Il12rb2;0.025588;Hdhd3;0.018657;Pld6;0.01065;Cops4;0.026797;Dicer1;0.030571;Notch2;0.00166;Dtl;0.013496
S100a2;0.000001;Luc7l;0.016327;Iqgap3;0.025588;Hist1h4a;0.018657;Kcne2;0.01065;Flii;0.027095;Phf8;0.030693;Gch1;0.001741;Efnb3;0.013496
Sbp;0.000001;Cdk13;0.016465;Kcnmb4;0.025588;Hyal3;0.018657;Nubp1;0.010699;Hivep3;0.027467;Tbc1d20;0.030866;Gm4070;0.001751;Elovl4;0.013496
Slc30a2;0.000001;Tmem57;0.016575;Lad1;0.025588;Klk11;0.018657;Armc6;0.010803;Gm14431;0.027759;Phf11d;0.03115;Gvin1;0.001751;Elp6;0.013496
Slc7a3;0.000001;Pigyl;0.016575;Lingo1;0.025588;Klk9;0.018657;Mpdu1;0.011263;Gm8898;0.027759;Vcam1;0.031597;Gpi1;0.001806;Foxs1;0.013496
Sntn;0.000001;Samd4;0.016757;Lrrc3b;0.025588;Krt17;0.018657;0610011F06Rik;0.011523;Lphn3;0.028382;Ppp1r12c;0.031921;Itgb5;0.001809;Pcid2;0.013819
Spag16;0.000001;Cgnl1;0.017291;Mkrn3;0.025588;LOC100503280;0.018657;Pex7;0.011641;Dpagt1;0.028382;Bscl2;0.031921;Idh1;0.00182;Mylk;0.013893
Spata17;0.000001;Wbp2;0.017502;Mocs3;0.025588;Lypd6b;0.018657;Glt28d2;0.012312;Cep57l1;0.029041;Trim56;0.03276;Gm5150;0.001858;Pde5a;0.014193
Spef1;0.000001;Zfp827;0.01756;Mxd3;0.025588;Magix;0.018657;Entpd5;0.012388;Rtn1;0.02917;Nkiras1;0.03276;Glipr2;0.001883;Scamp3;0.014571
Spire2;0.000001;Nprl3;0.018932;Myf6;0.025588;Mir1291;0.018657;Vmp1;0.012537;Mfsd1;0.030135;Herpud2;0.033576;Sf3b6;0.001919;Nsmce1;0.014604
Foxn4;0.000001;Ivd;0.01959;Necab1;0.025588;Mir181b-2;0.018657;Ppwd1;0.012568;Zfp58;0.030268;Bckdk;0.034138;Il10ra;0.001989;D5Ertd579e;0.014604
Frs3os;0.000001;Pgrmc1;0.019675;Pcsk9;0.025588;Mir450-1;0.018657;Pno1;0.012568;Trub2;0.030866;Adamts9;0.034591;Cnr2;0.002034;Tbx4;0.014656
Gas2l2;0.000001;Wipf3;0.020456;1700060C20Rik;0.025588;Neto1;0.018657;Phlda2;0.012652;Zfp560;0.031612;Adap2;0.034606;Epsti1;0.002034;Zfp260;0.014924
Gldc;0.000001;Zfp799;0.020456;2010107G12Rik;0.025588;Nov;0.018657;Plekhd1os;0.012652;Lrrc57;0.031625;Pold2;0.034606;Tfeb;0.002034;Zfp532;0.015083
Gm101;0.000001;Kdelr3;0.020456;2010109I03Rik;0.025588;Pcdha4-g;0.018657;Pnmt;0.012652;Klf7;0.032055;Pim3;0.034606;F7;0.002034;Impact;0.015232
Gm10560;0.000001;Hs3st1;0.020456;2700038G22Rik;0.025588;Pcdhb16;0.018657;Ppp1r14d;0.012652;Synrg;0.03209;Pdgfb;0.034903;Rab3il1;0.002034;Rft1;0.015259
Gm3336;0.000001;Hdac10;0.020456;2900009J06Rik;0.025588;D830046C22Rik;0.018657;Pthlh;0.012652;Gpr182;0.032689;Unc5b;0.034928;Olr1;0.002034;Snora81;0.015259
Grik1;0.000001;Ehf;0.020456;4931403E22Rik;0.025588;Doc2a;0.018657;Rac3;0.012652;Il17rd;0.03276;Fat4;0.035039;Ccr2;0.002053;Tpcn1;0.015503
Gtf2a1l;0.000001;Clec3b;0.020456;4933406C10Rik;0.025588;Spink4;0.018657;Rad9b;0.012652;Aifm2;0.03276;Tbc1d10b;0.035897;Ifi27l2a;0.002109;Selm;0.016166
Gtsf1l;0.000001;Cldn8;0.020456;5830454E08Rik;0.025588;Tesk2;0.018657;Rnf25;0.012652;Sspn;0.033976;Tceal1;0.035897;Mndal;0.002114;Zfp715;0.016198
Hepacam;0.000001;Chdh;0.020456;Aldh1a2;0.025588;Tespa1;0.018657;Cage1;0.012652;Pigv;0.034138;Ddx19a;0.036863;Sdhc;0.00215;Dst;0.016672
Iqch;0.000001;Pgm5;0.020456;Apobec2;0.025588;Tmeff2;0.018657;Caps2;0.012652;Zfp217;0.03433;2810006K23Rik;0.036863;Plgrkt;0.002187;Ror2;0.017589
Irak1bp1;0.000001;Nol6;0.020456;Asic1;0.025588;1110028F11Rik;0.018657;Cct6b;0.012652;Rbm4b;0.034606;Ndnl2;0.036863;Ccdc53;0.002205;Paqr8;0.017589
Itih2;0.000001;C1rl;0.020456;Atp2a1;0.025588;1700001O22Rik;0.018657;Chst5;0.012652;Srpx2;0.034606;Stat3;0.037342;Sf3b3;0.002261;Spata7;0.017687
Katnal2;0.000001;BC020402;0.020456;Bace2;0.025588;1700019G17Rik;0.018657;Clcn6;0.012652;Mrpl39;0.034707;Sik1;0.037576;Rab32;0.002283;Gins2;0.017687
Klf1;0.000001;Angptl4;0.020456;Cacnb1;0.025588;2810433D01Rik;0.018657;Cldn22;0.012652;S1pr2;0.034859;Rab5b;0.037743;Slc7a7;0.002341;Psd;0.017822
Klhdc7a;0.000001;Tmem220;0.020456;Cbx8;0.025588;4632428C04Rik;0.018657;Cyp2c40;0.012652;Vps13c;0.034903;Zfp191;0.038184;Hps1;0.002376;Tap1;0.017822
0610040B10Rik;0.000001;Slc7a4;0.020456;Ccnjl;0.025588;4921513I03Rik;0.018657;D630041G03Rik;0.012652;Mctp2;0.035897;Srpx;0.03871;Dusp2;0.002391;Rce1;0.017822
1600029I14Rik;0.000001;Slc25a22;0.020456;Chrdl1;0.025588;4933411E08Rik;0.018657;Dnase1l2;0.012652;H2-T22;0.035906;Zbtb16;0.038947;Emr1;0.002391;Nkd2;0.017822
1700012B09Rik;0.000001;Scx;0.020456;Cldn15;0.025588;Actr5;0.018657;E330013P04Rik;0.012652;Ubr4;0.037066;Tcp11l2;0.039748;Dnase2a;0.002436;6330403K07Rik;0.017822
1700013F07Rik;0.000001;Rab22a;0.020456;Clec12b;0.025588;Amy1;0.018657;F630042J09Rik;0.012652;Snrpa;0.037375;Dnmbp;0.039965;Acy1;0.002584;Twistnb;0.017869
1700018F24Rik;0.000001;Qrsl1;0.020456;Crmp1;0.025588;Arhgap40;0.018657;Fam110c;0.012652;Rnf2;0.037743;Srp54b;0.040054;Sema4b;0.002624;Smtn;0.018004
1700019L03Rik;0.000001;Afg3l2;0.020802;Ctsw;0.025588;Ccdc129;0.018657;Fam151b;0.012652;Slc10a6;0.037797;Rdh13;0.040615;Gsr;0.002624;Nr4a2;0.018201
1700024G13Rik;0.000001;8430408G22Rik;0.021315;Cys1;0.025588;Ccdc74a;0.018657;Fam212b;0.012652;2310022B05Rik;0.037797;Stard4;0.041185;Naip5;0.002661;Fgf7;0.019093
1700030J22Rik;0.000001;Muc1;0.021547;D130020L05Rik;0.025588;Ccl11;0.018657;Fate1;0.012652;Nucks1;0.038057;Itgb3;0.041376;Unc119;0.002707;Igf1;0.019858
1700101E01Rik;0.000001;Eif3l;0.022055;D930048N14Rik;0.025588;Celf5;0.018657;Fbxo44;0.012652;Zfp503;0.03816;Nuak1;0.043203;Timm50;0.002745;Rbm24;0.019928
1700123M08Rik;0.000001;Mrps16;0.022428;Dkk2;0.025588;Cenph;0.018657;Gc;0.012652;Cyfip1;0.03823;Trim34a;0.04341;Klhl6;0.002745;8430426J06Rik;0.019928
2010308F09Rik;0.000001;Lars;0.022428;Dnah17;0.025588;Ube2cbp;0.018657;Gjb1;0.012652;Mical3;0.038318;Athl1;0.044399;Ubash3b;0.00277;Nkain4;0.019928
2300005B03Rik;0.000001;Gpx8;0.022605;Dppa2;0.025588;Upk3bl;0.018657;Gjb2;0.012652;Adam12;0.03871;Thoc5;0.045069;Havcr2;0.00277;Nanp;0.019928
2310034G01Rik;0.000001;Abhd17b;0.022605;E130112N10Rik;0.025588;Vps45;0.018657;Gjb3;0.012652;Mfap3;0.03936;Hoxb5;0.045069;Tgif1;0.002788;Pabpc4;0.019928
2410018M08Rik;0.000001;Ccdc90b;0.023588;Eid2b;0.025588;Wnt16;0.018657;Gkn3;0.012652;Zfp280b;0.039965;Abca8b;0.045138;Ctsd;0.0028;Ankrd23;0.019928
2510049J12Rik;0.000001;Myo5c;0.023719;Erich6;0.025588;Xcr1;0.018657;Gm14827;0.012652;Mrpl34;0.040084;5930430L01Rik;0.045138;Cmpk1;0.003138;C1qtnf7;0.019928
2900011O08Rik;0.000001;Lrrfip1;0.024928;Fam46c;0.025588;Zkscan4;0.018657;Gm19897;0.012652;C130074G19Rik;0.040821;Akt1s1;0.045138;Mgat4a;0.003156;Vwa9;0.019965
3830403N18Rik;0.000001;AU021092;0.024972;Gm11837;0.025588;Phf19;0.018657;Gm4432;0.012652;Snrpb2;0.040984;Adamtsl5;0.045138;1810043G02Rik;0.003222;2410127L17Rik;0.020121
4921506M07Rik;0.000001;Tmem254c;0.025204;Gm13152;0.025588;Pou5f1;0.018657;Gm4566;0.012652;Pygo2;0.041308;A830010M20Rik;0.045138;Ptar1;0.003222;Gem;0.020127
4930427A07Rik;0.000001;Pam;0.025249;Gm1653;0.025588;Pus7l;0.018657;Sec1;0.012652;C1ra;0.041376;Slc39a14;0.045138;Pole2;0.003296;Rab3a;0.020288
4930469G21Rik;0.000001;Slc2a10;0.025628;Gimap5;0.026234;Sec24a;0.018813;Slc6a13;0.012652;H2-T9;0.041504;Rslcan18;0.045138;Prr3;0.003296;Tm7sf3;0.02043
4930474M22Rik;0.000001;Abcc1;0.025628;Sh3tc2;0.026583;Yipf3;0.018833;Snord89;0.012652;Csnk1g3;0.041504;Rsad1;0.045138;Cd244;0.003296;Lef1;0.02043
4930564B18Rik;0.000001;Trmu;0.025628;Pxdc1;0.026614;Prss36;0.018843;Tha1;0.012652;Slc39a10;0.042543;Rgs17;0.045138;Kank4;0.003296;Fut10;0.02043
4930581F22Rik;0.000001;Gfod2;0.025628;Gm7367;0.026728;Ppp1r12b;0.01908;Thpo;0.012652;Pink1;0.042743;Unc80;0.045138;Nlrp1b;0.003296;Siah2;0.02043
4932418E24Rik;0.000001;Exd2;0.025628;Stxbp6;0.026747;Fam76b;0.01974;Tm4sf20;0.012652;Klhl21;0.043119;5830416P10Rik;0.045138;Otub2;0.003296;Prpf40b;0.020463
4932438H23Rik;0.000001;Mmadhc;0.026668;Gm3500;0.026818;Spast;0.019895;Tomt;0.012652;Sephs1;0.043119;BC100530;0.045138;Agpat9;0.003296;Troap;0.022651
Enkur;0.000003;Tom1l1;0.026977;Itga6;0.026915;Hmga2;0.020145;Ufsp1;0.012652;2310003H01Rik;0.043203;Bmp7;0.045138;Arl5c;0.003296;Dus1l;0.022855
Zfp763;0.000003;Pon3;0.027245;Klf2;0.02701;Pdk2;0.021425;1190005I06Rik;0.012652;Syap1;0.043988;Ccdc71;0.045138;B430306N03Rik;0.003296;Nup37;0.023355
Erich2;0.000003;Apoa1bp;0.027476;Tmem181a;0.028346;Atl3;0.021543;1700030M09Rik;0.012652;Phka2;0.044399;Chd3os;0.045138;Blm;0.003296;Terf1;0.02349
Capsl;0.000005;4933434E20Rik;0.027967;6430548M08Rik;0.028607;Htra2;0.022077;1700048O20Rik;0.012652;Galt;0.044399;Clec4d;0.045138;Fam26f;0.003296;1810026B05Rik;0.023588
Mns1;0.000005;Nktr;0.028219;Magi1;0.028608;Gatc;0.022077;1700101I11Rik;0.012652;Vps52;0.044399;Dhrs11;0.045138;E030018B13Rik;0.003296;Tpm2;0.024085
C530005A16Rik;0.000005;Tmem138;0.028328;Ppox;0.029248;Plekhm1;0.022443;4930443O20Rik;0.012652;Thra;0.044467;Dhrs9;0.045138;Endog;0.003296;Ino80;0.024472
9130230L23Rik;0.000008;Slc25a16;0.028328;Gdpd3;0.029248;Zfp644;0.022931;A630066F11Rik;0.012652;Mospd2;0.044563;Fam167b;0.045138;1500011K16Rik;0.003434;Mta3;0.024498
9230110C19Rik;0.000008;Ppdpf;0.028632;Srbd1;0.029248;Cecr2;0.023097;AA543186;0.012652;Ctnnbl1;0.045069;Fam26e;0.045138;Inpp5d;0.003556;Gucy1a3;0.024579
Cenpp;0.000008;Pycard;0.029001;Mrps27;0.029248;Ppp4r1;0.023119;AU022793;0.012652;Il11ra1;0.045069;Fat3;0.045138;Camk2d;0.003575;Tmem14c;0.025496
Epb4.1l3;0.000008;Ptpn14;0.029001;9630013A20Rik;0.029365;Rassf2;0.023782;Aass;0.012652;Wwox;0.045069;Fbxl13;0.045138;Sep.10;0.003597;Itpripl1;0.025597
Lrrc56;0.000008;Azi2;0.029437;Ckap5;0.029694;Eif2s3x;0.023993;Acad12;0.012652;Armcx3;0.045081;Fgd3;0.045138;Ctsc;0.003612;Gja4;0.02568
Mxra7;0.000008;Firre;0.029437;Casp8;0.029996;Vsig2;0.024152;Art2a-ps;0.012652;A630001G21Rik;0.045138;Gja5;0.045138;Wdr26;0.003612;Sestd1;0.025877
Nme5;0.000008;Tmem50b;0.02954;Zfp57;0.030145;Sh3glb2;0.024178;BC049762;0.012652;Fbxl8;0.045138;Gm5483;0.045138;Gla;0.00364;Ss18;0.026131
Pim2;0.000008;Zcchc17;0.030536;Zfp788;0.030675;Serinc2;0.024588;BC068157;0.012652;Crocc;0.045138;H2-K2;0.045138;Zfp710;0.003668;Dennd6a;0.026289
Tctn2;0.000008;Idh3b;0.030992;Zfp961;0.031703;Pls1;0.024588;Bach2os;0.012652;Glce;0.045138;H2afy2;0.045138;Polr2k;0.003685;Dvl3;0.026742
Zscan22;0.000008;Zfp397;0.031201;Myo6;0.031723;Rap2c;0.026635;Batf2;0.012652;Gm17762;0.045138;Tarm1;0.045138;Marco;0.003739;Dnajc13;0.026779
Tmsb15b1;0.000012;Exoc3;0.032179;Copa;0.031767;Zrsr1;0.026722;Bdkrb1;0.012652;Coch;0.045138;Il1r2;0.045138;Oas1g;0.003739;Trim28;0.026779
Mthfsd;0.000012;Ocrl;0.032351;Ttc9c;0.033095;Tssc4;0.026722;H2-Ob;0.012652;Hist1h4c;0.045138;Ispd;0.045138;Mcm8;0.003739;Pth1r;0.027467
Mipep;0.000012;Wdr73;0.032746;Vangl1;0.033699;Atxn7l1;0.02708;Hexim2;0.012652;Tmem177;0.045138;Kcnj8;0.045138;Rab7l1;0.003823;Cd59a;0.027467
E230008N13Rik;0.000012;Wwc1;0.032746;Tnfaip8l1;0.034049;Rab26os;0.027101;Hist4h4;0.012652;Enkd1;0.045138;Lonrf1;0.045138;Cep250;0.003893;Actg2;0.027467
Rsph9;0.000016;Zdhhc24;0.032746;Grap;0.034484;Zfyve21;0.027437;Hs3st3b1;0.012652;Cngb1;0.045138;Mast1;0.045138;Hfe;0.003893;4930579G24Rik;0.027467
Wdr54;0.000016;Slc22a18;0.032746;Zfp445;0.034646;Gm19990;0.028026;LOC102634101;0.012652;1700012D14Rik;0.045138;Mcoln1;0.045138;Ly86;0.003895;Uba2;0.027727
Map9;0.000016;Slc9a5;0.032746;2700062C07Rik;0.035141;Acadvl;0.028791;Lig4;0.012652;Srl;0.045138;Mss51;0.045138;Gatm;0.003895;Pcdh1;0.028382
Dynlrb2;0.000016;Sv2a;0.032746;Slc24a5;0.035183;Cir1;0.02898;Lrrn3;0.012652;Mgat5;0.045138;Mutyh;0.045138;Zfp703;0.003895;Tor1aip1;0.028832
Scgb1c1;0.000018;Trim59;0.032746;Smarce1;0.0352;2700089E24Rik;0.030662;Marcksl1-ps4;0.012652;Mill2;0.045138;Nmnat2;0.045138;Gm10653;0.003949;Ttyh2;0.028997
Wdr19;0.000023;Trp53i13;0.032746;Gpatch11;0.035357;Lipo1;0.030681;Masp2;0.012652;Car15;0.045138;Nol3;0.045138;Irak4;0.003957;Crim1;0.029358
Wrap53;0.000033;Tsku;0.032746;Glyr1;0.035364;Tmem41b;0.030704;Me3;0.012652;Spsb2;0.045138;Ntn1;0.045138;Blvra;0.003987;Gm3414;0.02938
Glb1l2;0.000033;Brinp1;0.032746;Cdc42ep4;0.035926;B630005N14Rik;0.030894;Metrn;0.012652;Nacc2;0.045138;Uprt;0.045138;Dnph1;0.004039;Pea15a;0.029862
Fbxo36;0.000033;Ccdc120;0.032746;Tab3;0.03674;Tsc2;0.032587;Mzf1;0.012652;Nav3;0.045138;Nxpe3;0.045138;Gm7609;0.004039;Abcc5;0.030124
Spa17;0.000033;Mocs1;0.032746;Cpne8;0.036905;Mettl4;0.032773;Npy2r;0.012652;1700015E13Rik;0.045138;P2ry2;0.045138;Zbp1;0.004039;Tgfb1i1;0.030124
Olfml2b;0.000048;Nat9;0.032746;Hnrnpul2;0.037262;B130006D01Rik;0.032773;Olfr1030;0.012652;Agbl3;0.045138;Pde1a;0.045138;Pram1;0.004039;C1d;0.030201
Usp2;0.000048;Peo1;0.032746;Vash1;0.037524;Cryz;0.034389;P2ry10;0.012652;A330076H08Rik;0.045138;Rogdi;0.045438;Psd4;0.004039;Lifr;0.030229
Traf3ip1;0.000048;Dennd2a;0.032746;OTTMUSG00000016609;0.037871;Nipa2;0.035658;Acat3;0.013383;0610012H03Rik;0.045138;Golga7;0.045931;Pstpip1;0.004039;Cc2d1a;0.030268
1700097N02Rik;0.000048;Fhdc1;0.032746;Shroom2;0.038035;Thada;0.035658;Slc18a1;0.013383;Zfp316;0.045138;Lman2l;0.046328;Rasgrp1;0.004039;Trim32;0.030268
Mtus2;0.000048;Gramd4;0.032746;2510009E07Rik;0.039793;Rita1;0.036092;1700047I17Rik2;0.013547;R74862;0.045138;Camkk2;0.047141;Scimp;0.004039;Angptl2;0.030866
Ccdc39;0.000049;Gtf2h4;0.032746;Arhgap27;0.041;Zfp583;0.036092;Fam177a;0.013547;Slc25a15;0.045138;Lpar1;0.047632;Ccl2;0.004039;Mtrf1;0.030866
Ccdc146;0.000049;Hist2h2ac;0.032746;Gm6578;0.041091;Serpinb9b;0.036092;Tmem87b;0.013717;Rgs4;0.045138;Vps51;0.049222;Gpr132;0.004039;Gpr124;0.030866
Spata24;0.000049;9630033F20Rik;0.032746;Gga2;0.041518;Klc3;0.036092;Mpv17l2;0.013894;Rhbdl1;0.045138;Alkbh3;0.049222;Trpm2;0.004039;Stc1;0.030866
Elovl2;0.000049;A730008H23Rik;0.032746;Rmnd5a;0.042748;Pced1a;0.036092;Ebag9;0.014001;Rhod;0.045138;;;6720489N17Rik;0.004039;Taf13;0.031234
Dnal1;0.000068;Safb2;0.033942;Rbm14;0.043685;Rasgrf1;0.036092;Adam22;0.014907;Afap1;0.046031;;;Ffar2;0.004039;Odf2;0.031234
Itgb3bp;0.000068;Sec63;0.034636;Ddx6;0.043717;Lactb2;0.036315;Ppat;0.014907;Wdr83;0.046328;;;Gm13034;0.004039;Zfp143;0.031661
1700026L06Rik;0.000068;Ifrd1;0.034649;2610305D13Rik;0.04378;Zranb2;0.036557;Fem1a;0.01491;Raf1;0.046988;;;Nedd9;0.004098;Cmtr1;0.031873
Zdhhc1;0.000094;Baz2a;0.035096;Hist1h2bl;0.04378;Pde8b;0.03721;Mall;0.014964;Smarcc1;0.047214;;;Spag9;0.004226;Dnm3os;0.031921
Nme7;0.000094;Golph3;0.03519;Dffb;0.04378;Taf10;0.037512;4933416M07Rik;0.014964;Mcfd2;0.047214;;;Tspan14;0.004285;Agbl5;0.03276
Fam81a;0.000094;Mfap1b;0.035328;Pusl1;0.04378;Kdm5d;0.03939;Insig2;0.015232;Letm1;0.048108;;;Enc1;0.004405;Plxna4;0.03276
Anxa8;0.000094;Brd8;0.035366;Aff3;0.044179;Tmem255a;0.040543;Akap11;0.015406;Ncor2;0.048528;;;Parp12;0.00452;Piga;0.03276
Gatsl2;0.000094;Armc10;0.035939;Cpsf2;0.044676;Acsf2;0.040555;Snx4;0.015443;Pmpcb;0.048602;;;Plekho2;0.004664;Kdelr1;0.033573
Ccdc122;0.000097;Cmtm6;0.036121;Slx1b;0.044682;Sft2d3;0.040555;Cisd2;0.015681;Atp6ap2;0.049532;;;Lpxn;0.004729;Ntan1;0.033976
Cit;0.000115;Zmym1;0.036993;Snx16;0.045564;Slc45a3;0.040555;Klf9;0.015926;Kbtbd4;0.049786;;;Cox16;0.004781;Mustn1;0.034138
Gnb5;0.000115;Ang;0.036993;Psmb9;0.045564;A930019D19Rik;0.040555;Tmem110;0.01629;;;;;Tmem154;0.004893;Plscr4;0.034606
Crtc1;0.000115;Cnot3;0.037958;Helz2;0.047313;Zfp956;0.040555;Pex5;0.016365;;;;;Helb;0.004927;Ercc1;0.034606
Ift140;0.000115;Ascc1;0.039112;Nova2;0.047523;Rbp2;0.040555;Camk2g;0.016537;;;;;Taldo1;0.004977;Spg20;0.034606
Grb7;0.00013;Polr2l;0.039114;Foxo1;0.047523;Phgr1;0.040555;Mtfr1l;0.016562;;;;;Runx1;0.004983;Tfdp1;0.034883
Tmem29;0.00013;Ninj1;0.039401;Rasgef1a;0.047716;Mms22l;0.040555;Tesk1;0.016702;;;;;Pnpt1;0.005048;Rad54l2;0.034928
Ccdc14;0.000155;Esrp2;0.039701;Esf1;0.049248;Ctu1;0.040863;Sgms1;0.016774;;;;;Snx2;0.005049;Sox4;0.035039
Ccdc17;0.000179;Fam46b;0.039701;Zfp518a;0.04931;1810019J16Rik;0.040863;Brwd1;0.017654;;;;;Rexo2;0.005171;Rsl24d1;0.035069
Eppk1;0.000179;A230072C01Rik;0.039701;Tfpi;0.049667;Pdik1l;0.041279;Nme3;0.017781;;;;;Ggta1;0.005273;1810011O10Rik;0.035279
Ccdc61;0.000208;Hid1;0.039701;Arhgap18;0.049942;Ctps;0.041294;Kansl3;0.018205;;;;;Aif1;0.005407;Lancl3;0.035897
Sqle;0.000208;Ntf5;0.039701;;;Maml2;0.041526;Mthfd1;0.018207;;;;;Gpr34;0.005407;Prmt1;0.035897
Fbxl12;0.000208;Pclo;0.039701;;;Trappc2;0.042093;Lmbr1l;0.01861;;;;;Themis2;0.005407;Cers4;0.037375
Egfr;0.000208;Carf;0.041098;;;Sugp1;0.043847;Pign;0.018999;;;;;1110037F02Rik;0.005413;Creb1;0.037929
Vps18;0.000208;Avl9;0.041817;;;Ankrd13c;0.044037;4921531C22Rik;0.019605;;;;;Slc11a2;0.005566;Pcsk5;0.038009
Tgoln2;0.000224;Immp1l;0.042952;;;Syne2;0.045428;Sumf2;0.020606;;;;;Piezo1;0.005666;Slc10a3-ubl4;0.038026
Pip5k1b;0.000244;Nbea;0.044677;;;Trim14;0.045455;Nolc1;0.020662;;;;;Arpc4;0.005925;Phf12;0.038184
Eif2ak3;0.000244;D17Wsu92e;0.044677;;;Snora68;0.045455;Dnaja4;0.020701;;;;;Notch1;0.00603;Pomgnt1;0.03871
Stk30;0.000244;Cirbp;0.044708;;;Mcm10;0.045455;Slc25a19;0.0211;;;;;Ifngr2;0.00603;Gm5088;0.03871
Esrra;0.000244;Pgs1;0.045325;;;Limk2;0.045645;Prdm16;0.022042;;;;;Cmtm7;0.006169;Phkb;0.038772
Gprc5c;0.000279;Ephx1;0.046274;;;Stk39;0.046921;Ccdc28a;0.022931;;;;;Afap1l2;0.006189;Mar.07;0.039451
Cog2;0.00037;Elk1;0.046274;;;Gemin4;0.047027;Hmga2-ps1;0.022931;;;;;Hsd17b12;0.006225;Rnaseh2a;0.039965
Tmem107;0.000381;Mir703;0.046274;;;Bcar3;0.047027;H2-Q2;0.022931;;;;;Kctd12;0.006406;Mef2c;0.040311
Dusp14;0.000386;Mettl17;0.046274;;;Ubl7;0.047317;H2-Q1;0.022931;;;;;Mrpl48;0.006541;Erh;0.041354
1700088E04Rik;0.000386;Krt10;0.046274;;;Rab3gap2;0.04749;Usp49;0.022931;;;;;Adipor2;0.006629;Ap1ar;0.041376
Dhx16;0.000386;Ppp1r3b;0.046274;;;Nckap5l;0.048294;Tmem238;0.022931;;;;;Cd79b;0.006789;Kdm2b;0.041376
Psrc1;0.000399;Prkrir;0.046274;;;Rsbn1;0.048294;Sh3bp5l;0.022931;;;;;Hsf2;0.006957;Kif2a;0.041413
