Plasma Cells,Macrophages,AT2 Cells,Club Cells,B Cells,T/NKT Cells,Monocytes,Dendritic Cells,Basal Cells,Mast Cells,Endothelial/Lymphatic Cells,Fibroblasts,AT1 Cells,Ciliated Cells
CIB1,SLC1A3,JUND,HLA-DRB1,GNAQ,LPL,C14orf2,DCK,PKP4,SPECC1,FBLN2,HTRA1,FAM63B,DUSP18
CAST,TNFAIP2,TMC5,CFL1,HLA-DRB1,TAP1,NAAA,ARPC5,RPL26,SEMA4D,PLCB4,NUMBL,ARHGAP23,WDR63
SH3BGRL3,CXCR4,TFCP2L1,RARRES3,SP100,CD68,RPS27L,AGR3,ATP5E,MCEMP1,CSGALNACT1,ADIRF,KANK2,ADGB
ACP5,TPM3,RPL18,PPL,ATP1A1,HLA-DQB1,KYNU,LGALS3,RPL11,NDFIP2,LAYN,LGALS1,ACTN4,TTC26
AGPAT2,ADGRE5,SNHG9,C5AR1,ITGB7,RAC1,ABCA3,C8orf4,IGF1R,ASPH,FBN1,CSRP1,ZFP36L1,C7orf57
RPL35A,KCTD12,PLA2G10,FCGR3A,CTSB,PIK3R1,BTG3,RPS11,CD68,TREM1,GALNT15,NCALD,FAM198B,SUN1
LINC00998,ZYX,NEBL,CYBB,POLR2L,GNB2L1,SAP30,CD53,HOMER2,IFITM3,CD200,PTX3,RPS13,IQCK
COX14,ATP5E,RP11-462G2.1,FAM129B,RPL12,TMSB4X,CPM,SELENBP1,RPL18A,GCHFR,MAPK11,SERPINA1,PXDC1,GPR162
GSTO1,ANPEP,AZGP1,MS4A4A,CXCL16,ACSL1,SQSTM1,AKNA,KITLG,ZFAND5,NID1,NFIB,EVPL,GCLC
SKP1,TRPV2,ODC1,ITGB2,PKIG,CD37,ENTPD1,WIF1,RPL7A,ACSL1,NEURL1B,CLIC4,PAWR,IFT88
DHCR24,TFPT,CD59,SPINT2,XBP1,TCEAL4,EREG,EMP2,ABCC5,SAMHD1,SAT1,TGM2,TANC1,ENDOG
DPYSL2,OSTF1,SLC22A3,S100A11,CD69,PDE3B,ERLEC1,RNASE1,AIF1,RAB31,FTL,ENAH,MPP5,NFIA
LTA4H,EML4,CDKL2,RPS14,MCL1,BLVRB,MSMO1,KRT19,RPL23A,H2AFY,ASAH1,SERPING1,CTNNA1,SAA2
CD74,TFEC,C19orf33,RPS4X,WBP5,RPS23,MBIP,FXYD3,GOLGA8B,NDUFA4,TIMP1,CTSK,VIM,COLCA1
YWHAB,DDAH2,MTRR,KCTD12,YWHAE,MRC1,C16orf89,SEPP1,RPS3,SLC11A1,ITGA1,NFATC2,INF2,C6
CAT,GCA,EVA1A,AP2S1,RPL38,FAM118A,LMO7,PPIC,LINC01503,RASA2,AHNAK2,IL6ST,APLP2,ST6GALNAC1
PRR13,CD300LF,RPS4X,APP,ARHGAP25,CSTA,RAB11FIP1,CLDN18,FLRT3,BIRC3,PHLDB1,IL1R1,RNF128,CFAP65
MSN,DNASE2,FOSB,HLA-DMB,RP11-347P5.1,YBX3,SVIP,CYP27A1,CAPN2,SUMO2,TMEM88,CCDC71L,OSGIN2,TEX9
COX6B1,CTNNB1,CTTN,KRT18,VAMP8,TNFAIP3,SDR16C5,C1QC,HLA-B,DRAM1,SPNS2,RBP1,PON2,STOML3
LMNA,RAB13,HACD1,TNKS1BP1,NOP10,SFTPA1,ADIRF,DUSP4,TRIM2,AGPAT2,FAM101B,VAMP8,EHD1,LCN2
MUC1,JAML,RPL3,ENAH,SMCHD1,AAK1,SFTPC,GNAI2,GLRX,LRRK2,FLI1,ITIH5,CCDC84,APP
CD44,COMT,PLS3,NUPR1,CITED2,CTSS,MRC1,RPL4,ARPC1B,KRT8,GIMAP4,TIMP2,HLA-DRB1,C6orf132
COX5B,IRS2,P3H2,NAV2,CANX,MT-ND4,KCTD12,APOC1,LGALS3,CXCL2,FXYD6,CRIP2,ACTG1,COPRS
RPLP1,BLOC1S1,SQSTM1,CLDN1,SFTPD,RP11-347P5.1,CCL18,MACROD2,PLXNA2,FYN,INHBB,SLC39A14,TNFAIP1,EFCAB2
RAB13,RBPJ,PON3,FGR,SEPP1,BIN1,LIMCH1,PYCARD,ZBTB44,C1QC,SNTB2,SH3D19,GIPC1,TP53INP1
IQGAP1,PECAM1,FDFT1,CST3,SERPING1,LTA4H,STOM,CMTM6,EHF,DUSP1,MT1X,PLPP1,SHANK2,IFT172
RPL18,LACTB,TGFBR2,RPL10A,CSTA,GABPB1,SELENBP1,ALDH1A1,KRT7,AQP3,CYR61,FTL,KLF5,NUDT4
RNASE1,TGOLN2,PXMP4,HLA-DPB1,COX17,Sep-07,ARPC5,LMO7,TNFRSF19,DAB2,RBMS3,ASAH1,SLC19A1,TMEM107
PSMA7,FKBP1A,GLO1,CTNND1,RHOB,DBI,RPS11,C2,TNFSF10,MALL,TEAD4,DNAJB4,GPC1,MYCBP
NDUFB1,RHOG,LSS,PECAM1,MT1E,RHOB,C4BPA,STOM,KLF5,MT-ND4L,STOM,FLNA,RHOBTB2,DGKH
NGFRAP1,SELPLG,RPL23,LIMCH1,SMIM14,RAB31,KRT19,RBPJ,SCD,CFD,MPDZ,CDKN1C,OTUD7B,DDX17
CSTA,IFI30,RAP1GAP,CSTB,LY86,CDC42SE2,NUCKS1,FASN,RPS3A,ACP5,SOCS3,IFITM2,PKP3,CCDC74B
ATP5L,CD83,RP11-532F12.5,ARPC5,FAM177A1,CEBPB,ARPC4,MYO6,GCLC,PTPMT1,SEC14L1,TGFB1I1,RASSF7,SORBS2
TSC22D3,PDK4,IMPA2,SNX3,COX7A2,PDLIM1,PTMS,RAB31,RPL35,CITED2,ABLIM1,SERPINF1,DSG2,SPATA33
FLNA,VPS29,PLA2G16,DOK2,PSMB8-AS1,BTN3A2,EPCAM,DRAM1,ST5,RP11-1143G9.4,CD99,CAV2,PTMA,CCDC34
FAU,NCF4,PTPRG,MAGED1,SP110,GRINA,ABI3,EPCAM,MRC1,TNIK,WWTR1,SEMA5A,CYBA,SYNE1
RAB11FIP1,IFI27L2,FNIP2,S100A9,UQCR10,RNF213,CLDN18,ADIRF,C1orf162,SFTA3,BCR,INPP4B,FLNA,PLXNB2
UQCRB,PLEK,EZR,SLCO2B1,KLF6,CTSD,DUOX1,ELF3,ALOX5AP,RAB11FIP1,GALNT18,COL8A1,TPT1,LCA5
SEPP1,AZI2,AKAP1,BCL2A1,ATP2A3,C9orf142,JUN,PLXDC2,LAMA3,SLC39A8,PPM1F,CTSH,CLDN7,UBXN11
LPL,ATP6AP2,NCKAP1,BLVRB,HSPB1,MLPH,SPATS2L,PLSCR1,ACSL1,MTRNR2L1,SYNE2,GRK5,RPS2,DNAH2
SFTPD,LILRB4,MGLL,INHBA,USMG5,DPYSL2,IFITM3,LIMCH1,RPS15A,HNMT,SCARF1,TNS1,STARD7,LRP11
DUSP1,HBEGF,IFITM3,HLA-B,RBM47,MT-ND2,PHLDA3,GPAT3,SFTPA2,CTSS,LAMA5,FABP5,ARSJ,CARS
USMG5,ATP5EP2,DDT,HLA-DQB1,GCHFR,SFTPC,BHLHE41,DUOX1,ARPC3,GRINA,PGM5,CYBRD1,F3,NEK11
COMT,BID,AC007405.6,STARD10,SPTSSA,ANKRD44,VAT1,ALOX5AP,APOC1,CPNE3,SERPINA1,MT1E,SH3BGRL3,DNAJC10
NPM1,ZBTB8OS,KIF22,CLIC1,TCEAL4,CTSB,C8orf4,LMO3,RPL6,C2,CD44,APCDD1,KLF6,HSPBP1
C1orf162,GPD1,ARRDC3,SPN,P4HB,VSIG4,WWTR1,PARVG,RPL12,SSR3,TNFSF10,NPC2,ALDH3A2,IGF2BP2
RNF145,SMS,DCBLD2,LAIR1,LGALS3BP,GYPC,NCF1,CITED2,BLCAP,MSR1,RALGAPA2,CRIM1,MYO1D,B9D1
SERPINB1,ACTR3,TC2N,TMPRSS2,MRPL14,SDC4,DLC1,BST2,PAWR,WFDC2,GPX4,HLA-DPA1,ARHGAP29,SPATS2L
HSP90AB1,DPH3,GEM,TYMP,CNIH4,C1QC,FAM198B,MPEG1,SPI1,HLA-C,STAB1,EHD2,MYO5C,HDGF
SGMS2,M6PR,ACADL,GPSM3,CXCL17,ARHGEF1,WIF1,CRNDE,CCND2,FOS,ZNF667-AS1,CTSS,PLXNB1,UNC119B
CD68,CCL3,PPP1R9A,GLIS3,RNF130,SPINT2,SOD2,MAOA,TPPP3,SEPP1,ITGB1,PPP1R12B,DGCR2,CCDC189
HLA-DMA,TGM2,CGNL1,CORO1C,ATP1B3,YWHAE,RASGRP2,WWTR1,MSR1,EMP3,LRRC1,EPB41L2,CD9,PCSK1N
PCBP2,SARAF,SELM,TCEB2,CREG1,MYO1G,MGST3,DAPP1,ZNF395,EEF1D,LRRC8A,NTRK3,PTPN14,C5orf42
CD151,MPP1,LNX2,GCHFR,VIMP,MSR1,MTUS1,PHLDA3,SLC22A23,CD48,AKT3,EGR1,SLC44A2,DCDC1
DYNLT1,PTAFR,BLVRB,SPINK5,CD72,GNAQ,MACROD2,MGLL,WFDC2,QSOX1,INPP1,NPDC1,SLC34A2,C20orf96
GRINA,PLSCR1,JUN,RPL24,AREG,FCER1G,LMO3,MCEMP1,RPS27,NCF2,RP11-382A20.3,KLHL23,TYROBP,LRRC4
MORF4L1,ACTN1,ZDHHC9,RNASET2,PDXK,CCL4L2,RPL7,SMIM22,MPZL2,TFPI,EHD2,FGF7,RHOF,KRT8
TSC22D1,FPR1,RFC1,SLA,RP11-596C23.2,ANXA2,ELF3,SPTBN1,CH25H,RPS6KA5,GRB10,SPRY1,CCND2,METRN
CEBPB,SGK1,SLC25A36,C16orf89,RRBP1,RPS12,LGALS3,CNPY3,GNB2L1,CTSA,GIMAP1,HLA-DRB1,LIMD1,CNTRL
ALOX5AP,ARRDC4,NR4A1,FAM174B,MSR1,RP11-51J9.5,CADM1,ID1,ALDH3A2,KRT18,HAPLN3,G0S2,TAGLN2,NFIB
NXPE3,B3GNT5,TMEM164,SEL1L3,C1QC,GNG5,BEX2,FOLR1,RPS2,EPB41L4A-AS1,PMP22,SGCB,LAPTM5,CYP4X1
NAPSA,ARF6,GALE,INADL,SFTA3,SH3BGRL3,SMIM22,PEBP1,PTK7,EIF3E,ITPRIP,EFEMP1,ALDH3B1,DNAH3
SFTA3,FAM96A,ADGRD1,H2AFZ,PDE4B,TXN,MYO6,KRT7,OLR1,LUC7L3,FOSL2,HIF3A,NCKAP1,KIF19
IRF4,LIMS1,MAP3K13,RASD1,RAB1A,IFITM3,PTP4A1,LTA4H,CELSR1,FABP4,RAPGEF3,C11orf96,WSB1,ZNF664
RAB7A,ARPC2,THOC2,YPEL3,MS4A7,TMC8,FAM213A,TSC22D3,DAB2,PIGR,CSTB,FILIP1L,MRPL14,ARMC4
NFKBIA,HMGN2,TMEM41A,MYO5C,SGMS2,MYL12A,MEF2C,SOD3,MARCO,STX3,FGD5,CCDC102B,TMOD3,RUVBL2
CD302,APIP,LIPH,PLXDC2,AGPAT2,S1PR4,DCXR,TMEM125,HLA-DRB5,LRPAP1,YBX3,FZD1,FKBP9,SPATA6
CHPF,STMN1,MCCC1,TMEM63B,APOE,TIMP2,KTN1,ATP5G2,SNX10,TDRD3,NPC2,HLA-DQB1,ENO2,UGCG
NAMPT,MYL12A,TPD52,TUBA1B,NDUFB1,HNMT,EML4,GNB2L1,MUC4,LPCAT1,IL1RL1,MAP7D3,TXNIP,PRSS12
C1QA,RHOA,STXBP1,PPARG,SOD2,WBP5,CLEC12A,CAPZB,EVI2B,MARCO,CCDC50,VCAN,BMPR1A,FOXA1
NFIC,THBD,MEGF9,TSC22D1,CD302,HLA-DPA1,UBB,ATP1A1,RPL30,UPP1,CHSY1,NDRG2,C15orf52,ACYP1
CNIH4,PKM,PIGA,GLIPR2,TCEB2,RPL27,RNF145,CLDN4,GMFG,FASN,PDLIM3,HLA-DPB1,CTTN,RP11-263K19.4
PTPN12,AXL,KCNJ8,HLA-DRA,MRC1,OLR1,FCGRT,NKX2-1,GCHFR,SDR16C5,PRKCH,MXRA7,NRBP2,EFHB
LGALS3BP,LAMTOR2,SNHG19,KLHL24,JCHAIN,RNASE1,RP11-160E2.6,MFSD2A,GPX1,LINC01272,SHC1,MRC2,NFATC3,CCDC40
DUSP6,EVL,EEF1A1,GNAI2,AK1,TMA7,MT1E,BEX2,DMKN,MGLL,EXOC6,PKD1,CTSS,CAPS2
AP2S1,FERMT3,MAP1LC3A,THEMIS2,ATP5E,CEBPD,GNAS,PRDX5,SLC4A4,RP11-620J15.3,TPM4,LIMA1,GLS,PALMD
CCDC167,BST2,MYO6,PRSS8,CD163,LEPROTL1,CYP27A1,BRI3,FAF1,SPTSSA,IFI16,GATA6,FARP1,YWHAE
CAPG,AMIGO2,NAA38,STXBP2,NGFRAP1,SFXN1,ISCU,POLR2L,VSIG4,C5AR1,CTSH,FAM114A1,TACC2,RCAN3
BRK1,FRMD4A,LGI3,THBS1,CXCL2,LAPTM4A,RDX,PEA15,PDLIM1,SEC11C,DKK3,SERPINH1,EVA1A,SRGAP3
FKBP1A,PFDN5,AMD1,SLC31A2,SQSTM1,CD302,TM4SF1,F3,UBB,RPLP0,HLA-DRA,GADD45A,RPL28,RP11-101E5.1
SEC14L1,GPR137B,SVIP,SUSD2,CYSTM1,TNFAIP8,UBE2D1,RHOBTB2,NT5DC2,FGGY,LTC4S,PLPP3,ANO6,CELSR1
NDUFB9,GPRIN3,LURAP1L,CKLF,SEC61G,SP140,PON2,PEG10,RPL18,C16orf89,SEMA4C,MACF1,LMTK2,FRMPD2
PRKAR1A,SCCPDH,CCDC57,CTSZ,PGC,ATP6V0B,ATP5E,NNMT,FZD6,Sep-02,ASAP1,C12orf57,HDAC7,CEP290
CXCR4,RAC1,ZNF106,CTSB,RPL22,ANXA5,GCH1,SLC39A8,SLC11A1,ARHGAP18,SERPINH1,MARCKS,SRGN,AK7
RAB31,RGS19,JAK1,TJP1,SMCO4,SDCBP,MRPL14,NUDT3,ABLIM1,TIMP2,APOC1,EMP1,CRB3,ELK3
HNMT,BEST1,EI24,EXPH5,IFI16,UCP2,FOLR1,LPCAT2,EPS8L2,ANKRD44,CLIC4,OAZ1,CCDC6,STRBP
TMA7,TBXAS1,MAST4,CLDN3,NFIC,TSPAN3,IRAK3,RHBDF2,RP11-12G12.7,RPN2,TNS2,KLF9,GPX1,CCDC180
FUT8,CCR1,CLDN3,AC008268.1,TFPI,SFTA2,INHBA,DMKN,FABP4,CLTA,PIK3C2A,PDLIM4,FCER1G,MAP6
GSN,NMB,POLR3H,PSAP,TMBIM6,TXNIP,SLCO2B1,VOPP1,HINT1,ZNF704,PLK2,ECM1,SPTAN1,ANKRD66
SQSTM1,MIS18BP1,KCNQ1OT1,OCLN,DYNLT1,CD163,SPTBN1,TMC5,MET,LAMP2,TJP1,RECK,LPCAT1,LRRC6
AK1,FKBP5,CPNE3,HCLS1,PSMA7,CREG1,ST13,TCF7L2,C1QC,STK4,TRIB2,GEM,DDAH1,ANKRD36C
EIF1,TGFB1,XBP1,PLBD1,UPP1,DHCR24,SNRPN,SRGAP2B,RPL28,FN1,ACKR3,LPP,LIMS2,PTPRT
HSP90AA1,REEP5,HSD17B12,RP11-598F7.3,H2AFJ,TMBIM6,RHOBTB2,IFT57,MGST3,HSPB1,CCL2,PDLIM7,HMHA1,INTU
FOXP1,MS4A6A,SMC4,EPCAM,CLDN7,RNF130,PSMB8,BTF3,CD163,LST1,RAB11A,HIVEP3,TPRN,COQ4
SPCS1,GNS,H1F0,KLF6,NDUFA4,SLC34A2,DUSP1,CLIC1,KIAA1522,EPHX1,OAZ1,TWIST2,PTPN1,WDR34
AIF1,PLA2G7,EGFR,EPS8,VSIG4,ZFAND5,NDUFA4,ITGB6,RTN4,S100A14,CTTNBP2NL,ATP5E,CALM2,PTPRN2
SNRPF,SLFN11,AFF3,RGCC,HNMT,CD151,SEC11C,TSTD1,CD37,CD68,PRCP,HLA-DMA,ANXA2,C4orf47
BNIP3L,MOB1A,FAM184A,ARHGAP18,TFEB,FAM129A,CTNNB1,APBB1IP,CTSH,C21orf91,TFF3,LRP1,ERRFI1,IFT43
H2AFJ,SFT2D1,MRPS6,ATP1A1,PTP4A1,CYFIP2,CITED2,VIM,CSTB,CYP27A1,IL15RA,PKD2,SFN,TTC21A
POLR2L,CALM3,TCEA1,IGFBP2,FNIP2,SPI1,CRNDE,ARHGAP4,AC090498.1,GMPR,LAMB2,LSAMP,MUC1,CASC4
CHP1,HLA-DQA2,ADIRF,PILRA,SEC11A,TYROBP,IFT57,SCNN1A,CD53,PAK1,CDC42EP2,ADAMTS9,BCR,TTC25
RNF130,PTPMT1,TIPARP,GRINA,RP11-386I14.4,SFTPA2,NKX2-1,LAMP3,LST1,RENBP,FOXO1,GPC1,SMPD1,SPATA17
S100A14,FKBP15,MKNK2,LRPAP1,CD40,GPNMB,AGR2,UQCRQ,CTDSPL,CELF2,DBI,CPED1,HCFC1R1,DALRD3
LRRK2,DOCK8,CEP70,CXCL16,TXNDC17,PPP2R5C,HSPE1,JARID2,IER3,VSIG4,ARHGEF10,C9orf3,Mar-02,IFT81
PCBD1,LAMTOR1,SC5D,GRB2,SAMHD1,SCPEP1,UCP2,GKN2,NRP2,TCF7L2,TMSB10,RBFOX2,APOC1,PACRG
GRN,HCLS1,FGF7,GAPDH,OLR1,RPS5,PARVG,MEF2A,RPL10,MFSD2A,STC1,GNG12,HLA-DQB1,MAPRE3
PDIA6,MT2A,SMIM4,ARHGEF12,CLTA,HLA-DRB1,NFIC,CAP1,RPL4,MPHOSPH6,PTPRM,CAB39L,DUOX1,TP53TG1
SHFM1,KCNMA1,TMEM163,APOE,DUSP6,RP5-1171I10.5,CLDN4,IKZF1,MT-ND6,MT1E,CDC42BPA,LAMB2,CDKL5,RUVBL1
SLC11A1,AQP9,HAGLR,LY86,TSC22D1,LGALS3BP,CD163,CD151,TMEM123,TNFRSF1A,MXRA7,RPS29,UBA52,KIF3B
DYNLL1,HAVCR2,RPL6,ODF2L,SLC11A1,PLD3,MPZL2,FBP1,RPL37,MT-CO2,GUK1,FAT1,SYT17,BAIAP3
ATP5H,HEXA,ZFP36L1,SKAP2,GPNMB,MARCO,MAOA,CNIH4,CTTN,ALDOA,PLCG1,FCER1G,FNBP1L,MRLN
CLDN7,RNH1,SLC7A2,ARL4A,GNS,CCDC88A,TLR2,RPS27L,LCP1,DPYSL2,HHEX,PPFIBP1,ANKS1A,CBY1
ZFAND5,NUP214,RAB3IP,EVI2A,MARCO,SOCS1,FMNL1,SUB1,MIRLET7BHG,SOD2,PLPP3,PEAK1,PFDN5,CFAP77
UBB,TLR4,RUFY3,FPR1,TIMP2,PABPC4,MFSD2A,TNFSF13B,ANXA5,PPIC,HRH1,CPE,MYO6,CCDC191
TFPI,ENG,CDH1,SAMSN1,COMT,UQCRQ,PDE4DIP,PPT1,EEF1D,CEBPB,PEA15,GPX1,PRSS23,ST6GALNAC2
JUND,TALDO1,NFKBIZ,CREG1,PCBD1,STK17B,RPL6,PLAC8,SFTPD,MNDA,TGFBR2,JAG1,SREBF2,CFAP74
VSIG4,PSME2,SPINK5,FXYD5,HIST1H2BC,GNAS,SOD3,INHBA,PLEKHA1,ENO1,NEDD9,TYROBP,TOM1L2,C5orf15
SMIM4,LAP3,HOOK2,JAML,GPSM3,CD53,C1QA,ZNF385B,FNBP1L,CD163,VAMP8,KDELC2,RAB25,TMC4
PRDX5,TNFSF12,ALDH6A1,RHOG,CD68,TRG-AS1,EVI2B,COMMD6,MARCKS,PTP4A1,CDK17,S1PR2,CMTM4,AKNA
PEBP4,AVPI1,SEC61G,LPXN,ETS1,PIM2,CD151,RHOC,RPS25,IDS,CCDC68,APOC1,GLIS2,MYH14
LDHB,FABP5,RPL7A,CTSD,ATP6V1F,CXCL17,GPX1,SDS,SEMA4B,FLNA,PTMA,TINAGL1,C4BPA,TMEM154
SFTPB,DYNLL1,CAPN8,HCK,PEBP4,CAT,REXO2,HCK,GRN,TACC2,SWAP70,S100A16,THSD7A,CLSTN1
ANXA4,CD84,PNKD,CCL18,HSPA5,LAMP1,C19orf33,CYSTM1,HLA-DMB,SPI1,NR2F1,THBS1,WFDC2,WDR90
C1QB,Mar-01,MMP28,CLEC7A,NDUFB2,ARHGAP25,RMDN3,ACTR2,ABI2,LAMP1,ATP1B1,SCD,RPL12,NEK1
LAMTOR1,GPATCH11,ATF4,GLIPR1,ZFP36,SEPP1,TMEM97,BTG3,ST6GALNAC2,PPARG,SPRY1,TSPAN8,CYSTM1,PLEKHA5
CXCL17,C3AR1,GALNT3,EIF4EBP1,TMED10,CYSTM1,TMEM125,EPHX1,MMP14,LGMN,SH3BP5,USP53,GLCCI1,RBM38
TGFBR2,SAMSN1,MRPS36,CLEC2B,LAMP3,TFRC,C1orf21,C19orf33,CYBA,CTSW,MARCKS,LAPTM5,FAM129B,GLIS3
MSR1,CD99,NUPR1,SARAF,HOPX,ARID5A,BEX4,ARRB2,KLF6,CTSL,IL1R1,AC013461.1,DUSP1,MDH1B
DAZAP2,C20orf27,SDC1,RETN,S100A14,SGMS2,EPHX1,TWF2,MCEMP1,THBS1,NAV1,LYZ,SLC35A3,CRIP2
CAP1,SH3GLB1,ROS1,LSP1,QSOX1,FCGR2A,MID1IP1,HSPB1,S100A9,C4BPA,HDAC7,DBI,CNKSR1,APOBEC4
CD59,APOBR,HPN,IFI30,LEPROT,SLC11A1,ITGB6,SELM,PLEKHA5,MAL2,JAG2,RHOC,METTL7A,DENND6B
SERPING1,YWHAG,FAM84B,POMP,DRAM1,HLA-DMB,NCF2,AKR1B1,TREM1,CHP1,MYC,HLA-DRB5,RPS23,NBEA
CLIC1,DECR1,RAB17,FN1,H2AFY,CHP1,IGSF6,CLN8,CP,FMNL3,EFNB1,RCAN2,THSD4,DYNC2LI1
MTPN,LSP1,ESAM,BHLHE41,STK4,KCTD12,PTPN6,TPM3,NET1,CLDN18,MGST1,VCL,ZNF704,CROCC
MINOS1,IRF8,MAPK13,OCIAD2,ID2,PSMB8,LPCAT1,RNF130,KRT18,WIF1,GSN,ADM,RPS4X,PPP1R42
SCP2,CD58,CYP51A1,MYL6,EMP2,IL10RA,FBP1,EVI2A,HIST1H4C,PLBD1,ENTPD1,CTSD,CD68,PLXNB1
MBNL1,MOB3B,SEZ6L2,MTUS1,PIGR,MUC1,TFRC,RAB32,LINC01272,ABCA3,MIER2,SLC38A2,ARHGAP5,CFAP69
HLA-DMB,RP3-460G2.2,OCIAD2,FYB,HVCN1,APOE,SPTLC2,MTUS1,SDCBP,MAP3K13,CTSS,NDN,RAB5B,PPP1R16A
DUSP23,CD9,UQCRQ,FOXA2,DPYSL2,TSC22D1,TNFAIP3,C12orf45,FCGR2A,OST4,MAGI1,PGAP1,RPL39,DDR1
TXNDC11,LILRB3,CDC42EP1,IFI6,C2,NAPSA,SBDS,PLA2G1B,F3,IGSF6,OAF,ARPC1B,RPL15,SCGB2A1
HSBP1,SUMO3,EEF1B2,AUTS2,GSN,CORO1C,TSPAN13,ZEB2,PNISR,PMP22,DOCK4,FBP1,LYZ,WEE1
C1QC,PABPC4,KRTCAP3,AREG,FKBP2,SNRPD2,ARHGAP30,MBIP,CTSC,ANXA1,NT5E,ANO6,TMEM43,FAM179B
HLA-DQA1,SEC11A,PIM3,NCKAP1,DYNLL1,ITM2C,C14orf1,YAP1,ANKRD65,SMIM1,PIEZO1,HIF1A,RPS15A,CDH1
NEDD8,LCP2,GALNT10,MT-ND6,TACC2,LMNA,BTF3,SFTA1P,KRT8,HEXB,PXN,RBM47,RPL26,RP11-1008C21.1
CYSTM1,HSP90AA1,ARL5A,NCKAP1L,RP11-160E2.6,RPL5,TKT,AGPAT2,CAPG,CD302,GAS6,SOD3,PPP2CB,LRRC74B
TBCA,DOCK11,TMEM63B,OSTF1,AIF1,NMT2,CSF1R,IRX3,MT1E,SRSF5,CD74,FOXO3,GATA6,ARFGEF3
LPCAT1,SLC35E3,MSLN,TMEM125,CD180,JUND,SCGB3A2,CACNA2D2,MSI2,IKZF1,BACE2,ACP5,RPL19,GCLM
WBP5,AP2M1,KIF1C,FCGR2A,S100A9,ALDH1A1,PGLS,LIMS1,ARPC2,LGALS3,MAPK3,GCHFR,RPL11,IQCD
LST1,CNPY3,USP13,RNH1,LINC01272,HLA-DQA1,SECISBP2L,ARFGEF3,FOXP1,TUBA1C,TYROBP,FAM126A,FABP5,LBH
CYB5R3,UGP2,CLIC3,RARRES1,MID1IP1,PIGR,DAZAP2,PERP,HRAS,NUDT16,FBP1,LINC00152,LNX2,ATP9A
EPAS1,DRAP1,NFATC3,CXCR4,RHEB,CCDC88C,EIF4A2,PTPRE,ARL4C,FCGR2A,NFIA,RNASE1,C5orf38,SSBP3
ATP6V0D1,MYD88,LSR,PPT1,SCARB2,CYLD,GOLGA4,SAMSN1,TPM1,GNB2,TACC1,ITGB5,PROS1,TCTEX1D4
TCF4,COLGALT1,FZD5,SELENBP1,GNAS,MCEMP1,LMAN1,PTP4A1,FOXA1,EPCAM,SPINT2,C3,RAB17,DZIP1L
MID1IP1,YWHAZ,WWC1,LYAR,HEXB,ALOX5,CD86,KLF5,TSC22D1,RAB1A,CTSD,GPX4,TSTD1,GOLM1
TPI1,TUBB6,NEDD9,HLA-DMA,RASGRP3,CREM,RHOA,CES1,LRRK2,ITGB1,HES1,CYB5A,CLPTM1L,SERTAD4-AS1
ESD,EGR2,DGKD,WWTR1,HLA-F,RP11-138A9.2,AHI1,ARHGAP30,NAPSA,CTNNA1,CD320,ETS1,RPL34,HAGHL
ARL4A,TMEM50A,MPP7,PCOLCE2,GPR183,CHST12,RIN3,CD46,RPL9,SLC25A5,PTPRG,ARHGEF17,SSFA2,ZNF440
PGLS,PGK1,SERPINF2,ITGA3,CTSL,CYP27A1,NEDD4L,HHIP,GABPB1-AS1,ACTN1,SPTAN1,RPS20,SEPP1,STIM2
CD163,GABARAP,KLF13,LRP1,VAPA,SEMA4D,MSR1,THEMIS2,ALOX5,RTN4,SULT1B1,HLA-B,PLAC8,UGDH
ZFP36L1,SLC8A1,OSMR,ALDH1A1,EPAS1,SFTA3,TMC5,NCKAP1L,TSPAN6,RNH1,TRIOBP,TPM4,SFTPB,CLDN1
SOD2,CPVL,SLC26A9,RNF130,DUSP23,AIF1,SLC11A1,LRRK2,EMP3,GLTSCR2,FCER1G,MS4A7,CTDSPL,SIX1
BAX,FDX1,ANP32E,MTPN,IGHG3,NCF2,YAP1,SH3BGRL3,GTF2I,TM4SF1,KLF9,PIK3R1,JUND,TMBIM6
RPS15A,SH3BP5,B3GNT8,CPVL,AP2S1,MGST3,SCNN1A,CYP4B1,PTPRC,CD55,TTC28,CD82,LAMC1,RPGRIP1L
GLCCI1,GLIPR1,PLA2G12A,SFTPC,PTMS,GBP2,MGST1,CXADR,RPL24,SLC11A2,MAP1B,MAF,PPP1R13L,C2orf73
POLR1D,NPL,RPL23A,ENG,MCEMP1,HLA-DPB1,ATP2C1,NFIA,TSPO,EML4,TMEM2,HSPG2,NCOA7,DAW1
RPL6,TMBIM1,ENSA,MT2A,PTPN12,FUS,PLA2G1B,CNN3,FGD6,PHF20,GNAI2,DSTN,MS4A7,CES4A
RRBP1,CREG1,SLC25A23,CNN3,CYB561A3,EEF1B2,TMEM245,PRCP,RHOBTB3,KCTD12,MAP3K6,TMEM98,HLA-DMA,LZTFL1
KRT8,LHFPL2,RASSF7,HPGD,UCP2,PLA2G16,CCND1,AGR2,RPL5,SYNGR2,LYZ,MIR4435-2HG,ITGB1,TRIP13
SFTPC,TNNI2,TMEM30B,KLF4,ADGRF5,PIM1,THEMIS2,NEDD4L,SORL1,CREG1,FTH1,LTBP3,BTG3,AKAP14
