Plasma Cells,Macrophages,AT2 Cells,Club Cells,B Cells,T/NKT Cells,Monocytes,Dendritic Cells,Basal Cells,Mast Cells,Endothelial/Lymphatic Cells,Fibroblasts,AT1 Cells,Ciliated Cells
RAB30,ALOX5,SLC39A8,FOLR1,FCRL1,CD27,RNASE6,CD86,JAG2,BATF,CD59,TNXB,SPTBN1,WDR66
GNG7,LINC01272,DRAM1,BCAM,S100A6,RUNX3,ARHGDIB,TMSB10,TMPRSS4,P2RY14,APP,CFH,EHD2,NEK5
SPATS2,SH3BGRL3,DMBT1,LMO7,RPL13A,XCL2,H3F3A,CD1A,CCDC80,SAMSN1,PODXL,DES,COL12A1,TSPAN19
EAF2,CYP27A1,TMEM97,TRIM2,RPS27,Sep-01,FCER1G,GPR34,TNS4,CD22,EDN1,COL5A2,GAS6,METTL7A
ZBP1,CRIP1,FAM177A1,NFIA,RPS27A,TUBA4A,GCA,ADAM28,ECE1,TRAF3IP3,S1PR1,NEXN,MYO1C,IGFBP5
POU2F2,S100A4,SFN,KRT7,RP11-796E2.4,PYHIN1,SELL,SERPINF1,PTPN14,RPS27A,THBD,LBH,PLS3,ENKUR
HSH2D,RETN,BEX2,CXCL6,TRAF5,FGFBP2,SMAP2,PLD4,TRPC6,ITM2C,KCTD12,ACTG2,TM4SF1,HYDIN
RP11-16E12.2,ATP6V1F,ZNF385B,TSPAN8,RPS18,CD96,C1orf162,TMEM176A,PKP1,TNFRSF18,TGM2,PDGFRB,DST,FAM92B
AC006129.2,HLA-DQB1,ATP1A1,LIPH,INPP5D,EMB,SLA,MYO1F,SOX9,RPL34,IL33,LTBP2,TES,HMGN3
RALGPS2,RGCC,MAL2,PLK2,RPS29,ANXA6,CD93,PPP1R14A,PLPP2,SRGN,IGFBP4,PDLIM3,PCYOX1,SPAG17
PNOC,C1orf162,DSTN,KLK10,RPL11,AKNA,HCK,CD300A,CYP24A1,KCNMB1,PALMD,COL4A2,CDH1,RABL2B
TMEM156,GLIPR2,ALPL,C1orf116,IGHM,IKZF3,PTPRE,C1orf54,PROM2,IKZF3,CRIM1,MYH10,MAP2,TMEM231
SLC38A5,HLA-DPB1,KRT8,PERP,IGHG2,RHOH,CST3,CLEC5A,ARHGAP23,SYTL3,RHOC,CAMK2N1,PEG10,EZR
LAX1,GSTO1,MBIP,IRX2,RPL3,GZMK,LCP1,EPB41L2,COL4A5,NMT2,ADGRL4,NR2F1,CCND1,AGR3
RPL41,STXBP2,DLC1,SYNE2,RPL21,APOBEC3G,ZEB2,LIMD2,PCDH7,ATP8B4,LIFR,OLFML3,LAMA3,IGFBP2
RPL34,GLRX,F3,PTPRF,RPL13,CD8B,ADM,CLEC4A,SERPINB5,TESC,MT1A,ABI3BP,LAMB3,FXYD3
RPS25,PSMA7,CEBPD,DSP,RPS25,PTPN7,HCST,TNFRSF1B,FAT2,TMEM154,IL6ST,NID1,ABLIM1,ROPN1L
RPS21,FCGR2A,MAOA,PLPP2,NPC2,KLRC1,TYROBP,RGS18,DKK3,ALOX5AP,TMEM100,TCF21,ITGA3,CCDC173
RPL36,CXCL16,AREG,ALDH1A3,RPS15,RPS3,MYO1F,NDRG2,DPYSL3,C1orf228,KLF2,ANGPT1,ARHGEF26,DRC3
RPL27,LIPA,DCXR,TFF3,FTL,TIGIT,STXBP2,STAB1,GPR87,PTMA,MYH9,SLIT2,CFLAR,CDHR4
RPL27A,CCDC88A,CACNA2D2,RHOBTB3,Sep-06,SKAP1,FGR,POU2F2,RASSF6,CD84,SNCG,SPON1,PTPRF,CDS1
RPL22,EVI2B,FDPS,TSPAN1,MEF2C,RPS29,HLA-B,PLEKHO1,NGFR,CD44,SRPX,SYNPO2,PTGS2,POLR2I
RPS19,FCGRT,DUOX1,ERBB2,RPS23,RPS27,SERPINB9,PSTPIP2,SERPINB13,DDIT4,HEG1,COL5A1,IRX2,ALDH3B1
RPL37,PYCARD,DUSP6,ST6GALNAC1,CD63,RPL13A,LSP1,RAMP1,DLL1,HPGD,NDRG1,SPON2,DAPK2,DYNC2H1
RPS3A,SDCBP,SCD,JUP,RPL32,CD6,PYCARD,SIGLEC10,FBLN1,TSC22D3,BMPR2,THBS2,BCAM,PERP
RPL37A,DAB2,SLC6A14,CRIP2,PNOC,SELL,GPSM3,RASSF2,CX3CL1,RFESD,EMCN,COL18A1,DHCR24,DZIP3
TPT1,CYBB,C14orf1,CAPN13,RPL27A,RPS27A,POU2F2,ADAMDEC1,UNC5B-AS1,RPL11,SPTBN1,CDH11,CKB,CFAP70
RPS16,HLA-DMA,CADM1,CAPN8,CST3,SIT1,LRRC25,PALD1,FERMT1,RPL32,PDLIM1,MAMDC2,C1orf116,DYDC2
MT-CO2,MS4A4A,ITGB6,ADGRF1,MAP4K1,SH2D1A,RBP7,SRGAP1,ST6GALNAC1,ST3GAL4,CCDC85B,CA3,COL4A3,RFX3
RPL9,GPX1,TSC22D1,CEACAM5,RPL30,GNG2,C19orf38,GAPT,CEMIP,ARHGDIB,ARHGAP29,OGN,NGFRAP1,RP1
RPS23,LPL,AGR3,KIAA1522,LBH,BCL11B,RGS18,KCNMB1,SIX1,CD74,NFIB,EMILIN1,SCNN1A,C2orf40
RPLP2,SERPING1,ID1,SOX2,RHOH,RPL3,Mar-01,RPS23,ARL4D,SERPINA1,TFPI,RAMP1,EPCAM,CATSPERD
RPS14,TMSB10,PARM1,PROM2,RPL19,ITK,GIMAP7,CLECL1,SNCG,SKAP1,COX7A1,GPC3,NEDD4L,AKAP9
RPL30,AIF1,TSTD1,CYP4X1,RPL10,C12orf75,NAIP,CD93,SLITRK6,PROM1,CDH5,PLN,FAM105A,HSP90AA1
RPS27,TMSB4X,C3,CRACR2B,SP140,TRAT1,WAS,PRKCB,CH17-360D5.2,ANXA2,TINAGL1,CHRDL1,VCL,GSTA1
RPL32,FCGR3A,ETV1,MS4A15,RP11-231C14.7,RPL23A,MXD1,UBA52,PVRL1,FAU,FKBP1A,ANGPTL4,PDLIM2,CAPSL
RPL19,BCL2A1,MID1IP1,GRAMD3,RPS15A,RPS15A,PRKCB,RPS24,NSG1,CD37,LRRC32,ITGA8,FOLR1,DNAJA4
COX7C,ITM2B,MLPH,RHOV,RPL18A,OXNAD1,MYO1G,INPP5D,NTN1,RPL26,TSPAN7,LAMA4,MS4A15,LRRC23
RPS28,HEXB,STEAP4,DDR1,RPL39,ZAP70,ARPC1B,PLXNC1,ALDH1A3,CTSH,S100A16,MAP1B,FMO2,PRDX5
RPS2,RP11-598F7.3,C1orf21,PVRL4,RPS3A,ITGA4,RASSF2,CCR6,TFAP2A,ADGRE2,PIK3R3,THY1,EPS8L2,PRR29
SERF2,NCF2,RHOBTB2,ECE1,RAC2,SH2D2A,ADGRE2,ADAM8,ADH7,RPL7,PPFIBP1,MEG3,CD24,IK
RPL11,EMP3,EGR1,PLEKHS1,HSH2D,RPLP2,CFL1,CEACAM4,LOXL4,RPS4X,PLVAP,SVEP1,EFNA1,DTHD1
UBA52,ALDH2,AQP1,GSTA1,CD24,LBH,ARPC3,ADAM19,VSNL1,MAML1,MMRN2,ITGA1,ABCA7,CLIC6
RPS3,S100A10,ERRFI1,GRHL1,RPS6,SPON2,HLA-A,P2RY14,ISYNA1,CATSPER1,NNMT,LMOD1,IFI27,PFN2
H3F3A,CXCL3,EPCAM,MARCKSL1,NEAT1,AC133644.2,CYBB,ADORA3,EYA2,P2RX1,RPGR,SERPINB2,DENND3,ZBBX
ATP5E,IGSF6,TMEM125,CFH,RPS8,IL2RB,CDA,ITGA4,LGR4,ALS2,IL32,MEDAG,NPNT,PLAC8
MT-CO3,HLA-DMB,MRPL14,LINC00342,RPL10A,CCR7,ICAM3,RP11-404O13.5,FRMD6,RGS10,FLT1,CSRP2,PTRF,SPAG6
RPS13,CFD,LMO3,CX3CL1,BCAS4,LAIR2,HRH2,HRH2,PAX9,FHL3,COL4A1,TBX2,CTSE,HIPK1
TOMM7,SLCO2B1,BTG3,SIX1,ANXA6,RASGRP1,TMSB10,S100A6,MDFI,RPL35A,PTGDS,SLIT3,PRSS8,DNALI1
RPL38,GLDN,WSB1,RP11-469H8.6,RPL34,CXCR6,HLA-C,SCD,RNF165,SOCS1,NUAK1,CNN1,HSPG2,MORN5
RPS20,B2M,IDI1,SLC15A2,BCL11A,STAT4,LILRA2,SDC4,RNF207,RPS18,RGS5,PLEKHH2,CRIP2,PPIL6
RPL12,LY96,MTUS1,VSTM2L,RPS3,CXCR3,PFN1,DSTN,RP11-44F21.5,RPL10,ACVRL1,COL14A1,WWC2,HSBP1
RPS9,CST3,SECISBP2L,MBOAT2,SAT1,SAMD3,OAZ1,CYB5A,NTF4,RPS15,ECE1,NDUFA4L2,IL32,FAM227A
RPL31,ANXA5,AGR2,SCD5,STAP1,CAMK4,UBA52,NUPR1,PLCH2,RPS14,LIMS2,LAMB1,AGRN,C9orf135
RPL28,HLA-B,LIMCH1,INHBB,RPSA,PSTPIP1,RPS9,MGST1,LGALS7B,TSEN54,ITGA5,LOX,C12orf49,RP11-620J15.3
RPS24,BHLHE41,ATP1B1,CYP2F1,S100A11,DUSP2,RP6-159A1.4,SLPI,FTL,HS6ST1,TMTC1,PCOLCE,GGT1,DYNLT1
PFDN5,THBS1,PPA1,NOTCH3,RPL41,LINC00861,CD300A,SFTPB,CFH,NUPR1,MARCKSL1,MCAM,DLC1,PSENEN
PPIA,TREM2,SLC25A4,HES4,CD9,GRAP2,PFDN5,CSTB,EGFR,RPS25,LCN6,VCAM1,CXADR,FHAD1
COMMD6,HLA-C,SQLE,ZNF608,CSTB,TNFRSF25,STAB1,RCSD1,KCTD1,GAPT,CNN3,PTGIS,COL4A4,WDR60
EEF1A1,CORO1C,NKX2-1,ERN2,RPS21,CD40LG,AOAH,IGSF6,ELN,HLA-DRA,CCL14,DDR2,MYRF,WDR38
MYL6,PPARG,EBP,BMPR1B,ARHGAP24,ITGB7,NKG7,TGFBI,LTBP4,CKLF,SELE,VGLL3,LLGL2,TUBA4B
RPS12,SH3BGRL,ALOX15B,APOD,LGALS3,IPCEF1,PSAP,OGFRL1,CELSR2,LAPTM4A,SELP,MXRA8,PRKCZ,SPEF2
RPL23,SLC7A7,SFTA1P,SCNN1G,BIRC3,CD5,RPS24,PTPRC,CAMK2N1,GSTP1,IL6,GFPT2,FLRT3,SAA1
PPDPF,H2AFY,CRTAC1,EIF1,APLP2,RGL4,CTB-61M7.2,CD84,CLU,RPL30,SOX7,DPYSL3,UNC13D,CFAP73
ATP6V0E1,PLAUR,DBI,OAZ1,RPS14,TXK,NLRP3,CPVL,CLSTN1,FOXP1,DKK2,EGFL6,ID1,CYP4B1
CALM2,YBX1,SYNE1,YBX1,RPL36,PLEKHF1,LILRA1,AXL,GPC3,SFTPC,ADAMTS4,HSPB6,PAM,SPAG16
TXN,ZEB2,SNHG7,ARPC2,MARCKSL1,MIAT,FAU,HLA-DRB5,CRIP2,ADORA3,GRASP,TMEM47,RBMS3,IQCG
YBX1,ATP6V0B,CRNDE,ARPC1B,DSTN,THEMIS,RPL28,SFTPC,PLXNB1,HLTF,GJA1,LAMA2,TNS1,RP11-128M1.1
RTN4,SAMHD1,SH3YL1,PSMA7,RPS10,SCML4,RPL26,SLC34A2,KLK11,TPT1,KIAA0355,PAPPA,EFEMP1,TNFAIP8L1
MT-CO1,LCP1,GSTA4,GPX1,IGHG1,CD226,RPS13,SLC8A1,SYNE2,FXYD5,GIMAP7,STEAP2,C1orf198,ATPIF1
BRI3,CD53,PMM1,TSPO,ICAM3,FTL,RPL10,RPL10,DGKH,CHN2,PLAT,CXCL12,SFTA2,PTPRF
LRRFIP1,UBB,PTPN13,EMP3,RPLP1,NPC2,SIGLEC10,ABI3,CXCL6,TCTEX1D1,CYYR1,PRRX1,PLLP,KIF21A
VAMP8,HPGD,MALAT1,PLIN2,RPL18,CST3,RPL18A,FYB,PALMD,ALDH2,ROBO4,CARMN,NDNF,DNAH11
CD81,TIMP2,C2,CTSS,GAPT,RPL13,CCR2,YWHAH,MT1X,DUSP10,CARHSP1,PDE5A,LAMA5,CFAP221
MYL12B,ARPC3,TMEM245,LAPTM5,PRKCB,FYB,RPS15A,PPDPF,C19orf33,FABP5,ADAM15,ADAMTS4,COL4A1,CALM1
CD63,CD37,AQP3,MS4A7,FAU,AC006129.2,GNG2,NLRP3,APP,APLP2,MKL2,ABCA8,MLLT4,CCDC113
ASAH1,MMP19,PRDX5,FTH1,HLA-E,HLA-C,RPL32,SFTPA1,SOX4,FER,NR2F2,HAS2,NCKAP5,WFDC2
MYL12A,TXNIP,KRT7,SRGN,RPL26,ARL4C,PSTPIP1,HOPX,RPS18,CD82,CAV2,MSRB3,SLC1A1,CLU
APLP2,LYAR,ATP11A,LGALS1,SERPINA1,ASAH1,TESC,SFTA2,IRF6,AREG,PTGIS,FHL2,TEAD1,CFAP126
ANXA1,ISG15,HHIP-AS1,FCER1G,TCF4,Sep-06,CD1D,MLPH,SYTL1,RPL14,COL4A2,PODN,AMOTL2,DNAH7
ALDH2,C5AR1,RPLP0,FTL,RPL35A,CD9,GPBAR1,SFTPA2,RPL10A,HLA-DPA1,CD34,FBLN2,ADGRF5,FTO
PFN1,NOP10,LMO7,CD52,TXN,STK4,PPDPF,FPR3,PAQR7,RPS23,ETS1,ADARB1,NBEAL2,MNS1
ACTB,RBP4,IRX3,TYROBP,ASAH1,RPS18,ALCAM,GPSM3,CXCL14,ARHGAP25,SOX18,CCBE1,GPM6A,MLLT4
ZFAS1,MNDA,SNX25,LYZ,RPL7,RPL10,PDLIM1,SMAP2,LIMA1,SMYD3,PLPP1,MRVI1,FADS3,UFC1
CD9,RASGEF1B,WBP5,SLC34A2,S100A10,RPS19,HSPB1,LTB,RPS17,PRKX,JAM2,ADAMTS8,EGFR,TEKT1
GPX4,LITAF,NRGN,ADIRF,NCF1,RPL30,CSTB,RPS27A,SERTAD4,SFTPA1,EFNB2,TMEM119,LIPH,SRI
TMSB10,VAT1,ICAM1,S100A16,HIST1H1D,RPS15,CD81,AQP3,CYP4X1,RPL15,APOLD1,ITGBL1,PAPSS2,ARMC3
DBI,ARL4A,PTP4A1,CCDC64B,NUPR1,SAT1,AQP3,CD14,TNFRSF21,S100A10,MCAM,DPT,LAMC2,DMKN
SAT1,SPN,NEAT1,CDH1,PTPN7,S100A6,PEBP1,RPL26,AGRN,CTNNBL1,ESAM,FGFR4,FLNB,WDR78
GPX1,MIR3945HG,YAP1,ALOX5AP,C1orf186,RPSA,CD59,SNCA,MDK,ATP6V0A2,ERG,ANGPTL1,FAM174B,PCM1
NPC2,SRGN,HSD17B6,CLDN4,IL16,EVL,SCD,KCNK6,AR,BTG1,ICAM2,ISLR,LAMB2,WDR54
GLUL,AP2S1,PCDH9,CLIC5,EEF1B2,ARHGAP15,ATP1B1,CLEC7A,SFTPC,SFTPB,LYVE1,MMP23B,MYH14,IFT57
TMSB4X,LRPAP1,SNX30,CD68,FABP5,TCF7,DSTN,NAIP,PPP1R13L,RAB27B,LEPR,COL16A1,VSIG2,MUC4
LGALS3,FABP3,CLDN7,C1QB,CCR6,PSMB9,ACP5,PTGS1,SCD5,RPL13A,CXorf36,CALB2,GOLGA8B,LRRC46
NUPR1,LY6E,PHLDA2,AIF1,RPL31,RPL19,CD9,RP5-1171I10.5,RPS8,MATK,VCAM1,FKBP10,OCLN,C21orf58
MGST1,LGALS9,LL22NC03-N95F10.1,SLC44A4,BCL2,ANXA2R,FABP5,RP11-347P5.1,PDLIM4,DTNBP1,LMCD1,CDH13,TJP1,DNAL1
CSTB,AKR1B1,PDE4D,C1QA,FTH1,RNF125,CYB5A,CYBA,KIAA1217,RHOBTB3,ITM2A,EDNRA,CGN,C11orf97
SERPINA1,PLXDC2,TMEM41B,B2M,TRBC2,HLA-B,NUPR1,MUC1,DDR1,NSMCE1,CTNNAL1,EBF1,PERP,MLF1
S100A10,PFN1,INSIG1,SERPINA1,BRI3,RPL18A,APOC1,CD48,TRIB2,MGST1,DOCK9,SERPINE2,CFL2,FAM174A
FABP5,ANXA2,ELF3,RTN4,RPS5,RCSD1,SLPI,LGALS1,RPS4X,HLA-DPB1,NRN1,TSHZ2,TMEM63B,FANK1
